DataHora,Pressao_HX710B,Temperatura,VibX,VibY,VibZ,FimCurso,Velocidade
2025-09-18 08:03:51,4.239,21.31,-0.16,0.06,0.96,1,0.05
2025-09-18 08:03:53,4.239,21.38,-0.14,0.05,0.95,0,0.05
2025-09-18 08:03:55,4.239,21.38,-0.14,0.05,0.95,0,0.05
2025-09-18 08:03:57,4.239,21.31,-0.09,0.07,0.97,1,0.049
2025-09-18 08:03:59,4.239,21.38,-0.14,0.05,0.95,0,0.049
2025-09-18 08:04:01,4.239,21.38,-0.14,0.06,0.95,0,0.049
2025-09-18 08:04:04,4.239,21.38,-0.14,0.06,0.95,0,0.049
2025-09-18 08:04:06,4.239,21.38,-0.15,0.06,0.95,0,0.049
2025-09-18 08:04:08,4.239,21.38,-0.16,0.05,0.96,0,0.049
2025-09-18 08:04:10,4.239,21.31,-0.14,0.05,0.96,0,0.049
2025-09-18 08:04:12,4.239,21.38,-0.14,0.06,0.95,0,0.049
2025-09-18 08:04:15,4.239,21.31,-0.1,0.08,0.94,1,0.014
2025-09-18 08:04:17,4.239,21.38,-0.13,0.06,0.96,0,0.014
2025-09-18 08:04:19,4.239,21.38,-0.14,0.08,0.94,0,0.014
2025-09-18 08:04:21,4.239,21.38,-0.14,0.04,0.97,0,0.014
2025-09-18 08:04:23,4.239,21.38,-0.14,0.06,0.96,0,0.014
2025-09-18 08:04:26,4.239,21.38,-0.13,0.08,0.95,0,0.014
2025-09-18 08:04:28,4.239,21.38,-0.14,0.05,0.95,0,0.014
2025-09-18 08:04:30,4.239,21.38,-0.13,0.06,0.96,0,0.014
2025-09-18 08:04:32,4.239,21.38,-0.14,0.06,0.95,1,0.014
2025-09-18 08:04:34,4.239,21.38,-0.14,0.04,0.96,0,0.014
2025-09-18 08:04:36,4.239,21.38,-0.19,0.02,0.93,0,0.014
2025-09-18 08:04:38,4.239,21.38,-0.14,0.06,0.95,1,0.05
2025-09-18 08:04:40,4.239,21.38,-0.15,0.07,0.96,0,0.05
2025-09-18 08:04:42,4.239,21.38,-0.15,0.05,0.96,0,0.05
2025-09-18 08:04:45,4.239,21.38,-0.09,-0.18,0.94,1,0.049
2025-09-18 08:04:47,4.239,21.38,-0.14,0.05,0.95,0,0.049
2025-09-18 08:04:49,4.239,21.38,-0.14,0.06,0.95,0,0.049
2025-09-18 08:04:51,4.239,21.38,-0.17,0.1,0.96,1,0.049
2025-09-18 08:04:53,4.239,21.38,-0.14,0.05,0.95,0,0.049
2025-09-18 08:04:55,4.239,21.38,-0.13,0.05,0.94,0,0.049
2025-09-18 08:04:57,4.239,21.38,-0.14,0.06,0.94,0,0.049
2025-09-18 08:04:59,4.239,21.38,-0.06,0.07,0.85,0,0.049
2025-09-18 08:05:01,4.239,21.38,-0.13,0.05,0.94,0,0.049
2025-09-18 08:05:04,4.239,21.38,-0.16,0.06,0.96,0,0.049
2025-09-18 08:05:06,4.239,21.38,-0.14,0.05,0.95,0,0.049
2025-09-18 08:05:08,4.239,21.38,-0.15,0.04,0.95,1,0.014
2025-09-18 08:05:10,4.239,21.38,-0.17,0.0,0.96,0,0.014
2025-09-18 08:05:13,4.239,21.38,-0.12,0.13,0.95,0,0.014
2025-09-18 08:05:15,4.239,21.38,-0.14,0.05,0.96,0,0.014
2025-09-18 08:05:17,4.239,21.38,-0.14,0.06,0.95,0,0.014
2025-09-18 08:05:20,4.239,21.38,-0.1,0.03,0.92,1,0.022
2025-09-18 08:05:22,4.239,21.44,-0.14,0.05,0.95,0,0.022
2025-09-18 08:05:24,4.239,21.38,-0.14,0.06,0.95,0,0.022
2025-09-18 08:05:27,4.239,21.38,-0.17,0.06,0.98,1,0.048
2025-09-18 08:05:29,4.239,21.38,-0.14,0.06,0.95,0,0.048
2025-09-18 08:05:31,4.239,21.38,-0.14,0.05,0.96,0,0.048
2025-09-18 08:05:33,4.239,21.38,-0.18,0.04,0.96,1,0.051
2025-09-18 08:05:35,4.239,21.38,-0.14,0.04,0.93,0,0.051
2025-09-18 08:05:37,4.239,21.38,-0.14,0.04,0.95,0,0.051
2025-09-18 08:05:39,4.239,21.38,-0.14,0.05,0.96,0,0.051
2025-09-18 08:05:41,4.239,21.38,-0.14,0.06,0.96,0,0.051
2025-09-18 08:05:44,4.239,21.38,-0.08,0.04,0.93,1,0.025
2025-09-18 08:05:46,4.239,21.38,-0.14,0.06,0.95,0,0.025
2025-09-18 08:05:48,4.239,21.38,-0.14,0.04,0.96,0,0.025
2025-09-18 08:05:50,4.239,21.38,-0.14,0.06,0.96,1,0.05
2025-09-18 08:05:52,4.239,21.38,-0.15,0.06,0.94,0,0.05
2025-09-18 08:05:54,4.239,21.38,-0.15,0.05,0.95,0,0.05
2025-09-18 08:05:56,4.239,21.38,-0.14,0.06,0.96,1,0.049
2025-09-18 08:05:58,4.239,21.38,-0.15,0.06,0.94,0,0.049
2025-09-18 08:06:01,4.239,21.38,-0.14,0.05,0.96,0,0.049
2025-09-18 08:06:03,4.239,21.38,-0.13,0.05,0.96,1,0.05
2025-09-18 08:06:05,4.239,21.38,-0.14,0.03,0.97,0,0.05
2025-09-18 08:06:07,4.239,21.38,-0.14,0.08,0.96,0,0.05
2025-09-18 08:06:09,4.239,21.38,-0.14,0.05,0.95,0,0.05
2025-09-18 08:06:11,4.239,21.38,-0.13,0.04,0.96,0,0.05
2025-09-18 08:06:13,4.239,21.44,-0.13,0.05,0.95,0,0.05
2025-09-18 08:06:15,4.239,21.38,-0.14,0.07,0.95,0,0.05
2025-09-18 08:06:17,4.239,21.38,-0.14,0.05,0.95,0,0.05
2025-09-18 08:06:19,4.239,21.38,-0.14,0.08,0.95,1,0.014
2025-09-18 08:06:21,4.239,21.38,-0.13,0.06,0.94,0,0.014
2025-09-18 08:06:24,4.239,21.38,-0.14,0.06,0.96,0,0.014
2025-09-18 08:06:26,4.239,21.38,-0.12,-0.03,1.39,1,0.05
2025-09-18 08:06:28,4.239,21.44,-0.14,0.05,0.96,0,0.05
2025-09-18 08:06:30,4.239,21.44,-0.13,0.04,0.95,0,0.05
2025-09-18 08:06:32,4.239,21.38,-0.14,0.05,0.96,1,0.05
2025-09-18 08:06:34,4.239,21.38,-0.13,0.06,0.96,0,0.05
2025-09-18 08:06:36,4.239,21.44,-0.14,0.06,0.95,0,0.05
2025-09-18 08:06:38,4.239,21.44,-0.14,0.07,0.95,1,0.05
